case:concept:name,cohort,cycle_time_days,automation_ratio,total_events,is_rework,has_payment_block_removed
2000000000_00001,2,86.00902777777777,0.6667,12,0,0
2000000001_00001,2,379.08958333333334,0.6,15,0,0
2000000002_00001,2,377.90416666666664,0.6111,18,1,0
2000000003_00001,2,59.25,0.6667,12,0,0
2000000003_00002,2,59.25,0.6667,12,0,0
2000000003_00003,2,59.25,0.6667,12,0,0
2000000004_00001,2,80.28125,0.75,12,0,0
2000000005_00001,2,205.92430555555555,0.5625,16,1,0
2000000005_00002,2,0.04236111111111111,0.875,8,0,0
2000000006_00001,2,374.0180555555556,0.6,15,1,0
2000000007_00001,5,59.00694444444444,0.6154,13,0,1
2000000008_00001,2,45.02916666666667,0.7692,13,0,0
2000000009_00001,2,71.59305555555555,0.6923,13,0,0
2000000010_00001,2,372.8534722222222,0.5,38,1,0
2000000011_00001,2,372.7951388888889,0.6,15,0,0
2000000012_00001,2,77.93611111111112,0.75,12,0,0
2000000013_00001,2,35.96736111111111,0.6923,13,0,0
2000000014_00001,2,370.84583333333336,0.4857,35,0,0
2000000015_00001,2,370.0888888888889,0.4369,103,1,1
2000000016_00001,4,367.65694444444443,0.508,250,1,1
2000000017_00001,2,370.08819444444447,0.4417,120,1,0
2000000018_00001,4,357.58819444444447,0.4556,180,1,0
2000000019_00001,2,370.08819444444447,0.4952,105,1,0
2000000020_00001,2,370.08819444444447,0.4815,81,1,0
2000000021_00001,2,293.27430555555554,0.459,61,1,0
2000000022_00001,4,370.08819444444447,0.4275,131,1,0
2000000023_00001,2,369.9590277777778,0.6429,14,0,0
2000000024_00001,2,332.2236111111111,0.5238,42,0,0
2000000025_00001,2,80.25208333333333,0.6923,13,0,0
2000000026_00001,2,52.12986111111111,0.6667,12,0,0
2000000026_00002,2,52.12986111111111,0.6667,12,0,0
2000000027_00001,2,360.1201388888889,0.5278,36,0,0
2000000028_00001,2,287.9770833333333,0.4773,44,1,0
2000000029_00001,2,52.01875,0.6667,12,0,0
2000000029_00002,2,52.01875,0.6667,12,0,0
2000000029_00003,2,52.01875,0.6667,12,0,0
2000000030_00001,2,199.01041666666666,0.6667,18,1,0
2000000031_00001,2,72.96875,0.6667,12,0,0
2000000032_00001,2,51.894444444444446,0.6667,12,0,0
2000000033_00001,2,142.6625,0.6923,13,0,0
2000000034_00001,2,317.2451388888889,0.4921,63,1,0
2000000035_00001,2,365.9506944444444,0.6,15,0,0
2000000036_00001,2,365.9347222222222,0.6,15,0,0
2000000037_00001,2,71.97708333333334,0.75,12,0,0
2000000037_00002,2,71.97708333333334,0.75,12,0,0
2000000037_00003,2,71.97708333333334,0.75,12,0,0
2000000038_00001,2,71.97777777777777,0.6667,12,0,0
2000000039_00001,2,50.861111111111114,0.6667,12,0,0
2000000039_00002,2,50.861111111111114,0.6667,12,0,0
2000000040_00001,2,357.93541666666664,0.5312,32,0,0
2000000041_00001,2,22.91875,0.6923,13,0,0
2000000042_00001,2,22.91875,0.6923,13,0,0
2000000043_00001,2,0.041666666666666664,0.875,8,0,0
2000000044_00001,2,71.28680555555556,0.6667,12,0,0
2000000045_00001,2,50.15694444444444,0.6667,12,0,0
2000000045_00002,2,50.15694444444444,0.6667,12,0,0
2000000046_00001,2,22.15972222222222,0.6923,13,0,0
2000000047_00001,4,358.03472222222223,0.3633,278,1,1
2000000048_00001,2,56.94236111111111,0.6923,13,0,0
2000000049_00001,2,110.98680555555555,0.75,12,0,0
2000000050_00001,2,77.02638888888889,0.75,12,0,0
2000000051_00001,2,48.95625,0.6667,12,0,0
2000000052_00001,2,318.40694444444443,0.8182,11,0,0
2000000053_00001,1,9.997916666666667,0.5556,18,1,0
2000000054_00001,5,69.19791666666667,0.6154,13,0,1
2000000054_00002,2,69.19791666666667,0.6667,12,0,0
2000000054_00003,5,69.19791666666667,0.6154,13,0,1
2000000054_00004,5,69.19791666666667,0.6154,13,0,1
2000000055_00001,2,356.16527777777776,0.5217,69,0,0
2000000056_00001,2,348.78472222222223,0.5484,62,0,0
2000000057_00001,2,355.8548611111111,0.4868,76,1,0
2000000058_00001,2,355.8541666666667,0.4941,85,1,0
2000000059_00001,2,355.85555555555555,0.5195,77,1,0
2000000060_00001,2,355.8548611111111,0.4941,85,1,0
2000000061_00001,2,355.8548611111111,0.5065,77,1,0
