spec,n_feats,k,silhouette
A_current(eng11+bg30),41,5,0.28
A_current(eng11+bg30),41,6,0.301
A_current(eng11+bg30),41,7,0.331
A_current(eng11+bg30),41,8,0.35
B_eng11_only,11,5,0.427
B_eng11_only,11,6,0.478
B_eng11_only,11,7,0.537
B_eng11_only,11,8,0.547
C_struct16,18,5,0.387
C_struct16,18,6,0.491
C_struct16,18,7,0.404
C_struct16,18,8,0.411
C_struct16_log,18,5,0.386
C_struct16_log,18,6,0.38
C_struct16_log,18,7,0.393
C_struct16_log,18,8,0.45
D_struct16_log+bg10,28,5,0.37
D_struct16_log+bg10,28,6,0.389
D_struct16_log+bg10,28,7,0.406
D_struct16_log+bg10,28,8,0.415
E_flags_only,9,5,0.523
E_flags_only,9,6,0.564
E_flags_only,9,7,0.659
E_flags_only,9,8,0.709
