cohort,pct,n_events,variant
0,34.0,5,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
0,20.8,5,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
0,6.6,6,Create Purchase Order Item -> Receive Order Confirmation -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
0,6.0,6,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
0,2.9,6,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
1,60.5,2,Create Purchase Order Item -> Delete Purchase Order Item
1,11.4,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Delete Purchase Order Item
1,7.8,3,Create Purchase Order Item -> Receive Order Confirmation -> Delete Purchase Order Item
1,4.8,4,Create Purchase Requisition Item -> Create Purchase Order Item -> Receive Order Confirmation -> Delete Purchase Order Item
1,2.4,3,Create Purchase Order Item -> Delete Purchase Order Item -> Change Approval for Purchase Order
2,1.9,12,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Change was Transmitted -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice
2,1.5,4,Create Purchase Order Item -> Cancel Goods Receipt -> Vendor creates debit memo -> Cancel Invoice Receipt
2,1.3,5,Create Purchase Order Item -> Cancel Goods Receipt -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice
2,1.2,3,Create Purchase Order Item -> Cancel Goods Receipt -> Cancel Invoice Receipt
2,0.8,9,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice
3,42.6,2,Create Purchase Order Item -> Record Goods Receipt
3,12.8,3,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt
3,9.9,1,Create Purchase Order Item
3,5.1,2,Create Purchase Requisition Item -> Create Purchase Order Item
3,3.6,3,Create Purchase Order Item -> Record Goods Receipt -> Record Invoice Receipt
4,0.2,102,Create Purchase Requisition Item -> Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt
4,0.1,131,SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> Create Purchase Order Item -> SRM: Change was Transmitted -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Deleted -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Deleted -> Change Price -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> SRM: Created -> SRM: Complete -> SRM: Awaiting Approval -> SRM: Document Completed -> SRM: In Transfer to Execution Syst. -> SRM: Ordered -> SRM: Deleted -> Change Price -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> SRM: In Transfer to Execution Syst. -> SRM: Transfer Failed (E.Sys.)
